age,Age Group,gender,occupation,education_level,marital_status,income,credit_score,loan_status
32,Young,Male,Engineer,Bachelor's,Married,85000,720,Approved
45,Old,Female,Teacher,Master's,Single,62000,680,Approved
28,Young,Male,Student,High School,Single,25000,590,Denied
51,Old,Female,Manager,Bachelor's,Married,105000,780,Approved
36,Young,Male,Accountant,Bachelor's,Married,75000,710,Approved
24,Young,Female,Nurse,Associate's,Single,48000,640,Denied
42,Old,Male,Lawyer,Doctoral,Married,120000,790,Approved
29,Young,Female,Artist,Bachelor's,Single,38000,620,Denied
37,Young,Male,IT,Master's,Married,92000,750,Approved
48,Old,Female,Doctor,Doctoral,Married,180000,820,Approved
55,Old,Male,Consultant,Master's,Married,110000,770,Approved
31,Young,Female,Analyst,Bachelor's,Single,68000,690,Approved
26,Young,Male,Salesman,High School,Single,42000,610,Denied
39,Young,Female,Marketing,Bachelor's,Married,78000,730,Approved
44,Old,Male,Architect,Master's,Married,95000,760,Approved
27,Young,Female,Designer,Bachelor's,Single,52000,650,Denied
34,Young,Male,Engineer,Bachelor's,Married,88000,740,Approved
41,Old,Female,Pharmacist,Doctoral,Married,125000,800,Approved
30,Young,Male,Researcher,Master's,Single,72000,700,Approved
53,Old,Female,Professor,Doctoral,Married,98000,790,Approved
38,Young,Male,Pilot,Bachelor's,Married,80000,720,Approved
25,Young,Female,Receptionist,High School,Single,35000,580,Denied
46,Old,Male,Banker,Master's,Married,115000,780,Approved
33,Young,Female,Writer,Bachelor's,Single,45000,630,Denied
40,Young,Male,Chef,Associate's,Married,60000,690,Approved
28,Young,Female,Veterinarian,Doctoral,Single,75000,710,Approved
35,Young,Male,Sales,Bachelor's,Married,70000,700,Approved
43,Old,Female,HR,Master's,Married,90000,750,Approved
31,Young,Male,Electrician,High School,Single,55000,670,Approved
49,Old,Female,Realtor,Bachelor's,Married,65000,720,Approved
27,Young,Male,Photographer,Associate's,Single,40000,600,Denied
54,Old,Female,Editor,Master's,Married,85000,760,Approved
32,Young,Male,Programmer,Bachelor's,Married,95000,780,Approved
47,Old,Female,Dentist,Doctoral,Married,140000,810,Approved
29,Young,Male,Musician,Bachelor's,Single,30000,570,Denied
52,Old,Female,Psychologist,Doctoral,Married,110000,800,Approved
35,Young,Male,Engineer,Master's,Married,100000,770,Approved
26,Young,Female,Server,High School,Single,28000,560,Denied
40,Young,Male,Software,Bachelor's,Married,85000,740,Approved
33,Young,Female,Stylist,Associate's,Single,42000,620,Denied
38,Young,Male,Accountant,Bachelor's,Married,82000,730,Approved
30,Young,Female,Teacher,Master's,Single,58000,670,Approved
45,Old,Male,Manager,Bachelor's,Married,110000,790,Approved
28,Young,Female,Nurse,Associate's,Single,50000,660,Denied
42,Old,Male,Lawyer,Doctoral,Married,130000,800,Approved
36,Young,Female,Engineer,Master's,Married,90000,740,Approved
31,Young,Male,Analyst,Bachelor's,Single,65000,680,Approved
48,Old,Female,Doctor,Doctoral,Married,175000,830,Approved
34,Young,Male,IT,Bachelor's,Married,78000,720,Approved
27,Young,Female,Artist,Bachelor's,Single,35000,600,Denied
41,Old,Male,Consultant,Master's,Married,105000,760,Approved
29,Young,Female,Designer,Bachelor's,Single,48000,640,Denied
37,Young,Male,Engineer,Bachelor's,Married,92000,750,Approved
44,Old,Female,Marketing,Master's,Married,85000,740,Approved
32,Young,Male,Salesman,High School,Single,45000,630,Denied
50,Old,Female,Professor,Doctoral,Married,120000,810,Approved
39,Young,Male,Architect,Master's,Married,100000,770,Approved
25,Young,Female,Receptionist,High School,Single,32000,570,Denied
43,Old,Male,Banker,Bachelor's,Married,95000,760,Approved
30,Young,Female,Writer,Master's,Single,55000,650,Approved
38,Young,Male,Chef,Associate's,Married,65000,700,Approved
